USER     PID   PPID  VSIZE  RSS     WCHAN    PC         NAME
root      1     0     1288   4     c06fff70 000fc284 S busybox (u:1, s:248)
root      2     0     0      0     c006ff58 00000000 S kthreadd (u:1, s:0)
root      3     2     0      0     c0056ba8 00000000 S ksoftirqd/0 (u:7, s:0)
root      5     2     0      0     c006acf8 00000000 S kworker/u:0 (u:0, s:9)
root      6     2     0      0     c00cdb3c 00000000 S migration/0 (u:0, s:0)
root      16    2     0      0     c006aae8 00000000 S khelper (u:0, s:0)
root      17    2     0      0     c006aae8 00000000 S fs_sync (u:0, s:0)
root      18    2     0      0     c006aae8 00000000 S suspend (u:0, s:0)
root      19    2     0      0     c0075b08 00000000 D GCPU (u:0, s:0)
root      20    2     0      0     c04d0058 00000000 S update_tz_count (u:0, s:0)
root      21    2     0      0     c0075b08 00000000 D entropy_thread (u:0, s:0)
root      22    2     0      0     c011dc40 00000000 S sync_supers (u:1, s:0)
root      23    2     0      0     c011ed9c 00000000 S bdi-default (u:0, s:0)
root      24    2     0      0     c006aae8 00000000 S kblockd (u:0, s:0)
root      25    2     0      0     c0392378 00000000 S khubd (u:0, s:0)
root      27    2     0      0     c006aae8 00000000 S cfg80211 (u:0, s:0)
root      28    2     0      0     c006aae8 00000000 S rpciod (u:0, s:0)
root      30    2     0      0     c006aae8 00000000 S emi_mpu (u:0, s:0)
root      31    2     0      0     c0115ad0 00000000 S kswapd0 (u:0, s:0)
root      32    2     0      0     c0185e74 00000000 S fsnotify_mark (u:0, s:0)
root      33    2     0      0     c006aae8 00000000 S nfsiod (u:0, s:0)
root      34    2     0      0     c006aae8 00000000 S cifsiod (u:0, s:0)
root      35    2     0      0     c0288074 00000000 S fuse_log (u:3, s:0)
root      36    2     0      0     c006aae8 00000000 S crypto (u:0, s:0)
root      51    2     0      0     c006acf8 00000000 S kworker/u:1 (u:0, s:1)
root      58    2     0      0     c006aae8 00000000 S uether (u:0, s:0)
root      59    2     0      0     c006aae8 00000000 S binder (u:0, s:0)
root      60    2     0      0     c005da30 00000000 D hang_detect (u:0, s:0)
root      61    2     0      0     c03366c0 00000000 S ion_mm_heap (u:0, s:2)
root      62    2     0      0     c04bc7d0 00000000 S btif_rxd (u:0, s:0)
root      63    2     0      0     c0570dec 00000000 S conn-md-thread (u:0, s:0)
root      64    2     0      0     c006aae8 00000000 S mtk_vibrator (u:0, s:0)
root      65    2     0      0     c006aae8 00000000 S trace mon (u:0, s:0)
root      66    2     0      0     c006aae8 00000000 S ovl_eng_wq (u:0, s:0)
root      67    2     0      0     c006aae8 00000000 S ovl_eng_wq (u:0, s:0)
root      68    2     0      0     c006aae8 00000000 S ovl_eng_wq (u:0, s:0)
root      69    2     0      0     c006aae8 00000000 S ovl_eng_wq (u:0, s:0)
root      70    2     0      0     c006aae8 00000000 S ovl_eng_wq (u:0, s:0)
root      71    2     0      0     c05d19b8 00000000 S ovl_engine_kthr (u:0, s:2)
root      72    2     0      0     c05d106c 00000000 S rdma0_update_kt (u:204, s:0)
root      73    2     0      0     c05ec294 00000000 S hdmi_timer_kthr (u:567, s:0)
root      74    2     0      0     c05ec7f0 00000000 S hdmi_irq_kthrea (u:0, s:0)
root      75    2     0      0     c05ec438 00000000 S cec_timer_kthre (u:0, s:0)
root      76    2     0      0     c006f9d0 00000000 D mtk_ir_inp_thre (u:0, s:0)
root      77    2     0      0     c006f9d0 00000000 D mtk_ir_dev_thre (u:0, s:0)
root      78    2     0      0     c006f9d0 00000000 D mtk_ir_netlink_ (u:0, s:0)
root      80    2     0      0     c060b4b4 00000000 S disp_config_upd (u:0, s:0)
root      81    2     0      0     c006f9d0 00000000 D disp_captureovl (u:0, s:0)
root      82    2     0      0     c05c3408 00000000 S disp_capturefb_ (u:0, s:0)
root      83    2     0      0     c05c4cc0 00000000 S disp_config_upd (u:2, s:324)
root      84    2     0      0     c0425bbc 00000000 S mmcqd/0 (u:0, s:93)
root      85    2     0      0     c0425bbc 00000000 S mmcqd/0boot0 (u:0, s:0)
root      86    2     0      0     c0425bbc 00000000 S mmcqd/0boot1 (u:0, s:0)
root      89    2     0      0     c006aae8 00000000 S mtkfb_ovls_wq (u:0, s:0)
root      90    2     0      0     c06020c4 00000000 S tve_rdma_config (u:2, s:334)
root      91    2     0      0     c06023f0 00000000 S tve_rdma_update (u:0, s:0)
root      92    2     0      0     c0600024 00000000 S tve_filter_kthr (u:0, s:47)
root      93    2     0      0     c006aae8 00000000 S accdet (u:0, s:0)
root      94    2     0      0     c064436c 00000000 S keyEvent_send (u:0, s:0)
